country,iso3,initial_rate,revised_rate,final_rate,y_extra_tariff,source_note
Croatia 克罗地亚,HRV,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Czech Republic 捷克,CZE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Denmark 丹麦,DNK,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Dominican Republic 多米尼加共和国,DOM,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Ecuador 厄瓜多尔,ECU,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Egypt 埃及,EGY,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
El Salvador 萨尔瓦多,SLV,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Ethiopia 埃塞俄比亚,ETH,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Finland 芬兰,FIN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
France 法国,FRA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Georgia 格鲁吉亚,GEO,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Germany 德国,DEU,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Ghana 加纳,GHA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Greece 希腊,GRC,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Guatemala 危地马拉,GTM,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Honduras 洪都拉斯,HND,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Hong Kong 香港,HKG,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Hungary 匈牙利,HUN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
India 印度,IND,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Indonesia 印度尼西亚,IDN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Iran 伊朗,IRN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Ireland 爱尔兰,IRL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Israel 以色列,ISR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Italy 意大利,ITA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Japan 日本,JPN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Jordan 约旦,JOR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Kazakhstan 哈萨克斯坦,KAZ,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Kenya 肯尼亚,KEN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
South Korea 韩国,KOR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Kuwait 科威特,KWT,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Laos 老挝,LAO,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Lebanon 黎巴嫩,LBN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Lithuania 立陶宛,LTU,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Luxembourg 卢森堡,LUX,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Malaysia 马来西亚,MYS,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Malta 马耳他,MLT,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Mexico 墨西哥,MEX,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Moldova 摩尔多瓦,MDA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Mongolia 蒙古,MNG,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Morocco 摩洛哥,MAR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Mozambique 莫桑比克,MOZ,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Myanmar 缅甸,MMR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Nepal 尼泊尔,NPL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Netherlands 荷兰,NLD,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
New Zealand 新西兰,NZL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Nigeria 尼日利亚,NGA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Norway 挪威,NOR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Oman 阿曼,OMN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Pakistan 巴基斯坦,PAK,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Panama 巴拿马,PAN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Paraguay 巴拉圭,PRY,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Peru 秘鲁,PER,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Philippines 菲律宾,PHL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Poland 波兰,POL,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Portugal 葡萄牙,PRT,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Qatar 卡塔尔,QAT,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Romania 罗马尼亚,ROU,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Russia 俄罗斯,RUS,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Saudi Arabia 沙特阿拉伯,SAU,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Senegal 塞内加尔,SEN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Serbia 塞尔维亚,SRB,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Singapore 新加坡,SGP,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Slovakia 斯洛伐克,SVK,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Slovenia 斯洛文尼亚,SVN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
South Africa 南非,ZAF,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Spain 西班牙,ESP,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Sri Lanka 斯里兰卡,LKA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Sweden 瑞典,SWE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Switzerland 瑞士,CHE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Taiwan 台湾,TWN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Tanzania 坦桑尼亚,TZA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Thailand 泰国,THA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Tunisia 突尼斯,TUN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Turkey 土耳其,TUR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Uganda 乌干达,UGA,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Ukraine 乌克兰,UKR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
UAE 阿联酋,ARE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
United Kingdom 英国,GBR,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Uruguay 乌拉圭,URY,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Uzbekistan 乌兹别克斯坦,UZB,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Venezuela 委内瑞拉,VEN,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Vietnam 越南,VNM,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Zambia 赞比亚,ZMB,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
Zimbabwe 津巴布韦,ZWE,,,,,initial_from_master_Y1; revised_not_auto_confirmed_need_manual_check
